137;137;-0,101698;0,913366;-0,0928876
138;138;0,023501;0,910891;0,0214068
139;139;0,148332;0,908416;0,134747
140;140;0,270831;0,905941;0,245357
141;141;0,38908;0,903465;0,35152
142;142;0,501224;0,90099;0,451598
143;143;0,605504;0,898515;0,544054
144;144;0,700263;0,89604;0,627463
145;145;0,784031;0,893564;0,700582
146;146;0,855496;0,891089;0,762323
147;147;0,913537;0,888614;0,811781
148;148;0,957231;0,886139;0,848239
149;149;0,985885;0,883663;0,87119
150;150;0,999068;0,881188;0,880367
151;151;0,996573;0,878713;0,875702
152;152;0,97844;0,876238;0,857346
153;153;0,944928;0,873762;0,825642
154;154;0,896581;0,871287;0,78118
155;155;0,834166;0,868812;0,724733
156;156;0,758661;0,866337;0,657255
157;157;0,671245;0,863861;0,579862
158;158;0,573278;0,861386;0,493813
159;159;0,466316;0,858911;0,400524
160;160;0,352038;0,856436;0,301498
161;161;0,232233;0,85396;0,198318
162;162;0,10878;0,851485;0,0926244
163;163;-0,0163811;0,84901;-0,0139077
164;164;-0,141284;0,846535;-0,119602
165;165;-0,26397;0,844059;-0,222806
166;166;-0,382515;0,841584;-0,321919
167;167;-0,495047;0,839109;-0,415399
168;168;-0,599808;0,836634;-0,501819
169;169;-0,695156;0,834158;-0,57987
170;170;-0,779596;0,831683;-0,648376
171;171;-0,851795;0,829208;-0,706315
172;172;-0,910609;0,826733;-0,75283
173;173;-0,955132;0,824257;-0,787275
174;174;-0,984668;0,821782;-0,809183
175;175;-0,998752;0,819307;-0,818285
176;176;-0,997141;0,816832;-0,814496
177;177;-0,979873;0,814356;-0,797966
178;178;-0,947229;0,811881;-0,769038
179;179;-0,899721;0,809406;-0,72824
180;180;-0,838091;0,806931;-0,676281
181;181;-0,763284;0,804455;-0,614028
182;182;-0,676502;0,80198;-0,542541
183;183;-0,579103;0,799505;-0,462996
184;184;-0,472616;0,79703;-0,376689
185;185;-0,358704;0,794554;-0,28501
186;186;-0,239158;0,792079;-0,189432
187;187;-0,115861;0,789604;-0,0914841
188;188;0,00925519;0,787129;0,00728503
189;189;0,134228;0,784653;0,105322
190;190;0,257091;0,782178;0,201091
191;191;0,375916;0,779703;0,293103
192;192;0,488842;0,777228;0,379942
193;193;0,594098;0,774752;0,460279
194;194;0,690027;0,772277;0,532892
195;195;0,775111;0,769802;0,596682
196;196;0,848031;0,767327;0,650717
197;197;0,907643;0,764851;0,694212
198;198;0,953012;0,762376;0,726554
199;199;0,983408;0,759901;0,747292
200;200;0,998359;0,757426;0,756183
201;201;0,997644;0,754951;0,753172
202;202;0,981274;0,752475;0,738384
203;203;0,949504;0,75;0,712128
204;204;0,902804;0,75;0,677103
205;205;0,841938;0,75;0,631454
206;206;0,767861;0,75;0,575896
207;207;0,681733;0,75;0,5113
208;208;0,584898;0,75;0,438673
209;209;0,478873;0,75;0,359155
210;210;0,365336;0,75;0,274002
211;211;0,246066;0,75;0,184549
212;212;0,122932;0,75;0,092199
213;213;-0,00213423;0,75;-0,00160067
214;214;-0,127165;0,75;-0,095374
215;215;-0,2502;0,75;-0,18765
216;216;-0,369309;0,75;-0,276982
217;217;-0,482623;0,75;-0,361967
218;218;-0,58835;0,75;-0,441262
219;219;-0,684843;0,75;-0,513632
220;220;-0,770589;0,75;-0,577942
221;221;-0,844244;0,75;-0,633183
222;222;-0,904635;0,75;-0,678476
223;223;-0,950818;0,75;-0,713114
224;224;-0,982081;0,75;-0,73656
225;225;-0,997932;0,75;-0,748449
226;226;-0,998124;0,75;-0,748593
227;227;-0,982622;0,75;-0,736966
228;228;-0,951699;0,75;-0,713774
229;229;-0,905843;0,75;-0,679382
230;230;-0,845771;0,75;-0,634329
231;231;-0,772418;0,75;-0,579313
232;232;-0,686927;0,75;-0,515195
233;233;-0,590658;0,75;-0,442994
234;234;-0,48512;0,75;-0,36384
235;235;-0,371968;0,75;-0,278976
236;236;-0,252969;0,75;-0,189727
237;237;-0,13;0,75;-0,0975002
238;238;-0,00499228;0,75;-0,00374421
239;239;0,120095;0,75;0,0900711
240;240;0,243299;0,75;0,182474
241;241;0,362678;0,75;0,272008
242;242;0,476363;0,75;0,357272
243;243;0,582573;0,75;0,43693
244;244;0,679643;0,75;0,509732
245;245;0,766037;0,75;0,574528
246;246;0,840397;0,75;0,630297
247;247;0,901568;0,75;0,676176
248;248;0,948592;0,75;0,711444
249;249;0,980731;0,75;0,735548
250;250;0,997452;0,75;0,748089
251;251;0,998517;0,75;0,748887
252;252;0,983913;0,75;0,737934
